train_epoch ; train_step ; discrim_loss ; gen_loss_GAN ; gen_loss_L1
0 ; 150 ; 0.0 ; 0.0 ; 0.0
1 ; 1 ; 0.01742349 ; 0.010395073 ; 0.0046478524
1 ; 2 ; 0.05885829 ; 0.031814672 ; 0.0094570145
1 ; 3 ; 0.07571427 ; 0.039943524 ; 0.014101373
1 ; 4 ; 0.092134975 ; 0.047438562 ; 0.018828455
1 ; 5 ; 0.10813172 ; 0.05503475 ; 0.022141576
1 ; 6 ; 0.12150344 ; 0.06311278 ; 0.025846865
1 ; 7 ; 0.13396701 ; 0.0708919 ; 0.029221144
1 ; 8 ; 0.14667512 ; 0.079451494 ; 0.032430198
1 ; 9 ; 0.15863842 ; 0.08851397 ; 0.035239764
1 ; 10 ; 0.16907242 ; 0.09701496 ; 0.038974315
1 ; 11 ; 0.17951767 ; 0.105090305 ; 0.041727863
1 ; 12 ; 0.18934754 ; 0.11374397 ; 0.04407103
1 ; 13 ; 0.19884084 ; 0.122073784 ; 0.046741474
1 ; 14 ; 0.20875631 ; 0.13050605 ; 0.048929036
1 ; 15 ; 0.21999492 ; 0.13893947 ; 0.051528204
1 ; 16 ; 0.23058647 ; 0.14825305 ; 0.05533271
1 ; 17 ; 0.24456817 ; 0.15746224 ; 0.058337037
1 ; 18 ; 0.2550262 ; 0.16467273 ; 0.06011179
1 ; 19 ; 0.2637112 ; 0.17266965 ; 0.06212353
1 ; 20 ; 0.2755319 ; 0.18243681 ; 0.06376735
1 ; 21 ; 0.2909435 ; 0.19393297 ; 0.06527956
1 ; 22 ; 0.3022722 ; 0.20172785 ; 0.06675894
1 ; 23 ; 0.3122673 ; 0.20848367 ; 0.06881284
1 ; 24 ; 0.32490835 ; 0.218131 ; 0.07071401
1 ; 25 ; 0.33529073 ; 0.22570126 ; 0.072497256
1 ; 26 ; 0.34483036 ; 0.23157518 ; 0.074540675
1 ; 27 ; 0.35321012 ; 0.23727025 ; 0.07621846
1 ; 28 ; 0.36243716 ; 0.24442323 ; 0.077955596
1 ; 29 ; 0.37242156 ; 0.2505037 ; 0.08052244
1 ; 30 ; 0.38206932 ; 0.25648603 ; 0.08177679
1 ; 31 ; 0.39079887 ; 0.26423064 ; 0.0828037
1 ; 32 ; 0.39902383 ; 0.26919323 ; 0.08393302
1 ; 33 ; 0.40811482 ; 0.27545476 ; 0.08593022
1 ; 34 ; 0.41732854 ; 0.28398174 ; 0.08744177
1 ; 35 ; 0.42693436 ; 0.2906746 ; 0.088647276
1 ; 36 ; 0.4356872 ; 0.29465407 ; 0.089762405
1 ; 37 ; 0.4431201 ; 0.3004262 ; 0.0907669
1 ; 38 ; 0.4503107 ; 0.30594876 ; 0.091572426
1 ; 39 ; 0.45802942 ; 0.31349137 ; 0.092121266
1 ; 40 ; 0.46638224 ; 0.31654397 ; 0.09314446
1 ; 41 ; 0.47449398 ; 0.32326785 ; 0.09407196
1 ; 42 ; 0.48455358 ; 0.32915643 ; 0.09545335
1 ; 43 ; 0.49632585 ; 0.33918118 ; 0.096283816
1 ; 44 ; 0.5064428 ; 0.34288004 ; 0.097048156
1 ; 45 ; 0.51650923 ; 0.348652 ; 0.09788337
